name,comments
Apple-Cranberry Crostada,"['          husband loved it ! ', ""           Very good but I had to add some cinnamon and fresh grated nutmeg.  Very good and not too sweet. My hubby couldn't wait and had to have a slice before his dinner. "", '           This is a simple, rustic dessert. It is delicious, as is. I may add some cinnamon the next time. I used demerara sugar to top the crostada. Very tasty with a scoop of vanilla ice cream! ', '          Easy to make, great for holidays to balance all the sweet desserts with this nice tart taste.  Great for dessert or for breakfast the next morning. ', '          I make it as is - BUT - I add cinnamon to the sugar. It makes the flavor go a long way. The family and friends love it and its easy to make ', '          Didn\'t have much flavor to the ""filling"".  I would rather just make an apple crisp or a pie.  If you really wanted to use the puff pastry, I would cut it in small squares and place the squares in a cupcake pan and still use the filling to make a small tart. ']"
Apple Pie by Grandma Ople,"['          I thought this recipe was really good and simple to make. It’s a keeper! ', '          Go to recipe for all holidays!  I usually add cinnamon and nutmeg to sugar mixture.Pie dough excellent for all pies.Love it! ', '          I was very hesitant at first after looking at the ingredients I did exactly as instructed and could not believe the taste! This pie is, hands down, the best apple pie I have ever made!! You won’t be disappointed. Have one in the over now, added a sprinkle of cinnamon on top and left the top crust whole. Can’t wait to see how this one turns out. It will be wonderful I am sure!! ', ""           Excellent!  I followed the directions as written.  I let the pie cool for 45 minutes before slicing, and it was not runny at all; just perfect!  It's very rich for us so I will be making this as a holiday dessert item. But most likely for ALL holidays.  It's that good! "", ""          I've made this pie several times. Always a hit with the crowd. "", '           I loved the recipe, I did add my own little touch by add a little bit of cinnamon in to the pastry (dough), and added extra cinnamon in to the pie, just because I love cinnamon so much😍😍😍 ', ""          This is the best Apple pie I've ever tasted "", '          Lori stop reinventing the recipe. am a chef and have made this pie for as long as I can remember and it has never disappointed. do not mix the apples with the sauce, a lot of water in apples ', '          granny apples, pinch of nutmeg, egg wash, great pie ']"
Sarah's Homemade Applesauce,"['          Perfectly simple recipe. Turned out great. Used Cosmic Crisp apples ', '          Super easy. I made it without sugar. Apples were sweet enough. ', '          Yum good easy ', '          Made it because I had so many apples I received from the produce line.  My grandson loved it! ', ""          I have been making this recipe for years. I make a huge batch and cook it in the crockpot all day. Once the apples are really soft I mash everything up right in the crockpot and then let it cook for a bit more. My family likes it on the browner side. Sometimes I leave the sugar as is others I use way less...just depends on my mood but regardless of sugar amount used it's always delicious. It's good warm out of the crockpot and cold from the fridge too. "", ""          Very easy to make. I used 6 Gala apples and didn't add any sugar and it came out great! Will definitely make it again. "", '          Wow was this good! I followed recipe. I used Granny Smith apples which worked really well. Served slightly warm and was really and amazing! Hadn’t made homemade applesauce before, but definitely will again! ', ""          I purchased a bag of small apples that weren't very good -- lacked flavor as an 'eatin apple'.  I was going to throw the apples out then saw this recipe.  I thought what the heck, I was going to throw them out anyway.  I made exactly as recipe called for using 8 of the small apples as they would suffice for 4 regular sized.  It turned out DELICIOUS.  Easy and I didn't waste those apples.  For some reason applesauce has really increased in price -- so glad I used those apples up for applesauce.  This is a WINNER! "", ""           Easy to make and pretty tasty! Using my food processor to mash the apples made it super easy! Next time, I'll cut down on amount of sugar added, that was a bit too much. ""]"
Apple Crisp,"['          Want to take this recipe over the top? Scoop a half tablespoon of peanut butter into your bowl and stir it with this Apple crisp. Yum! ', '          It was so delicous! The only thing i would do a little different is add less water. ', '          I thickened the apples by cooking on top of the stove with the corn starch first then put in pan I think the topping may be a bit dry maybe more butter it’s in the oven so not sure it was not crumbly bit dusty I thought ', ""           I made this several times. The first time I added the water as the recipe calls for and it came out good but it wasn't as thick as I would have liked it. So the next time I made it I omitted the water and it came out perfect! Also have experimented with different types of apples and granny smith is definitely the winner in my book. Thank you fir sharing the amazing recipe! "", '          Loved it!  Perfect as is over vanilla ice cream!  Family and neighbors enjoyed this Apple Crisp recipe over vanilla ice cream! ', '          Very very good as is.  Used glass dish. ', '          the only changes i made were to use gluten free flour and coconut palm sugar. Fabulous!! ', '          Good flavour. I reduced the white sugar to 1/2 cup. I used Granny Smith apples and they turned into applesauce so next time I will NOT add water nor will I cut the slices too thin. The topping was delicious. ', '          Love it! ']"
Apple Pie Filling,"['          I used 5 cups of water, as suggested by some. It was plenty. 10 cups would have been way too much. I hesitated at 1 cup corn starch, but it worked out well. Easy to do ( because I have an apple slicer lol).  Looks delicious.  Will use again. ', '          I made this recipe several times and love it. However, I am very disappointed that All Recipes no longer offers the ability to automatically convert the size of servings. I want to pare the quantity down and find it tricky to work out the volume of water for a smaller portion and many reviewers seem to focus on too much liquid. I liked the older version of All Recipes better. ', ""          5 cups of water is plenty. I added a little more cinnamon and a pinch of cloves. I've made this recipe before and it always turns out great! "", '          Super easy, I used 5 cups of water and it came out perfect. ', ""          This is a wonderful recipe, one I've used successfully for a couple of years.  I found a bag of the filling in my freezer from 12 months ago that needed using. "", ""          no way this needs 10 cups of water.  I used 5 and it was still too much.  I'd use 2 next time.   I also cut the sugar in half. "", '          Excellect way to preserve apples for winter apple pies ', '          I loved it.  it was easy to make and freeze  and tastes awesome ', '          Way, way too much liquid.   I reduced this recipe for 2 pies, used 1/2 cider and 1/2 water with the cornstarch, sugar and spices.   I used 8 cups of sliced apples.  It looks like that I will have filling for one pie.  I may try this again, reducing the liquid, and increasing the amount of apples.   I used Golden Delicious apples, which is my ""go to"" apple for baking.    I am planning on using the leftover liquid to make an apple crisp. ']"
Easy Apple Crisp with Oat Topping,"['          I CONVERTED THIS FOR MY DIABETICS AND THEY LOVE IT!!! ', '          I love this recipe! I like cinnamon so I added more to the recipe. I added some lemon juice and water to the apples. Instead of topping with ice cream I drizzled sugar free maple syrup over it. ', '          Made it in a 9x13"" pan (9"" square would be too small).Quick and easy recipe. ', '          Delicious!  Made 1 1/2 times the recipe and placed in a 9 x 13 pan.  Sweet, soft apples under a crunchy top.  Nothing better!  Served warm with ice cream. ', ""          I had a bin full of apples to be used up so picked this recipe for a quick apple crisp. The only thing I did different was to use about 50% more apples than called for since I had so many extra. Glad I did, because there was so much oat topping. I ended up using a bigger baking dish to accommodate having more apples. With the amount of topping this recipe makes I'm glad I used more apples and a bigger pan. It was ready to come out of the oven at 35 minutes. DELICIOUS!!! "", '          easy to make and my friends all loved it!! ', '          Loved this recipe! Tasty,  crisp topping, apples baked perfectly,  just so very good all around. I used a 8 X 11 baking dish and it was perfect. ', '          My family LOVES this!!!  Doubled the recipe because it goes fast:-))) ', ""          Based on other people's reviews, I made some tweaks.I put in extra cinnamon and then sprinkled in some pumpkin pie spice for extra flavor, I also Added 2 or 3 tablespoons of water And a teaspoon of vanilla extract. I used instant oats instead of rolled oats.The cinnamon that I used was McCormick's Organic ground Saigon cinnamon.It came out delicious! ""]"
Easy Apple Cider,"['          Omitted brown sugar and allspice; cut two small oranges in half and stuck cloves in them. Boiled cider, oranges and cinnamon sticks for one-hour then warmed until serving. ', ""           Made it for my staff's annual holiday potluck. I added apple slices while it cooked. Then, I added whipped topping, caramel drizzle, and ground cinnamon as a topper. Staff LOVED it!! "", '          I don’t even like cider but this was AMAZING!!! ', '          I added a little orange rind zest. However the recipe is excellent. I just never give 5 stars, even to my own self. ', '          You have to wonder about the people that rated this low weather or not they actually followed the directions. I followes the recipe then added 1 sliced orange and 1 sliced apple while it simmered all day! It tasted SOOO good! ', ""          I loved this cider but can't find whole allspice so had to use ground and do some sifting.  Froze it. Good to thaw it and heat it for a winter get together crowd "", '          Very easy and good! Made with regular apple juice and added 2 slices of orange ', ""          This was great & will make again! I didn't put any additional sugar in this batch and it was still really good! "", ""          I made this the first time with ground spices because I didn't have whole ones. The second time I made it, I used the whole spices. Both versions turned out equally well.  It didn't have cheesecloth so I used my large tea diffuser with good results. Both times I had it in my crockpot for 3 hours on high. ""]"
Apple-Cranberry Crisp,"['          Loved this! I used less apples and more cranberries, but basically kept the other ratios the same. I like it a little tart so it was perfect. ', '          My family and friends raved about this!!!  I had some frozen cranberries and could use them up. With apples in season worked out. The pecans added flavor and crunch. Friends requesting recipe!! ', '          Ha! I just noticed the recipe called for 2 pounds apples, not 2 like I did but it still was very good. Just a bit too much cinnamon for me (or maybe not enough apples) ', ""          Loved it except for the pecans.  Next time, I'll leave those out. "", '          Delicious!! I had extra crans I needed to use up, so I roughly doubled the cranberries and halved the amount of apples used.  ', '          Love, Love, Love! ', '          I liked the flavor of the sweet apples and tart cranberries. The crisp was too dry for my taste. I doubled the butter so it was crispy without being sandy dry. ', '          Just used a little less sugar for the crumb topping.   I used dried cranberries which worked well.   Delicious!!! ', '          Wonderful! This will be my go-to for crisps from now on! ']"
Old-Fashioned Apple Dumplings,"['          I made it as exact as I could to recipe and it came out phenomenal.  . I was trying to make these as close to my moms recipe and I might have come CLOSE. THANKS! ', '          I made this for dessert on a beautiful Fall Sunday. They were so fun for my daughter and I to make together! After the first half hour I covered in foil. They came out beautifully!  Just delicious as is or even better with some vanilla ice cream! ', '          I read a few recipes and they are all pretty much similar to this olde fashioned one.. the only thing I altered is instead of water for the syrup I used apple cider.. they’re in the oven now and I can’t wait till they are done and cool a little bit before I can enjoy this first time I’ve made an apple dumpling ! Thanks to all who helped with this recipe!! -john G ', '          Perfect recipe made twice. I added rum to the sauce! Wonderful served warm. ', '          I liked the recipe. The only thing I did differently was I used crescent roll dough and I rolled it out. I cut up the apples and so I put everything on the dough, rolled it up, then sliced it into 10 pieces. when I was growing up, we called this ""apple rings"". ', '          Iv made this recipe before but ig I read the ingredients wrong? I used Pillsbury biscuits and it was greats! Also I.   Didnt like the idea of half an apple inside so I whent ahead and chopped them into small strips. Maybe go with cubed or thinly sliced. The strips where difficult to stuff the dough ', '          Smells amazing!! ', '           Used pre-made gf pie dough to make these and it was amazing!! Didn’t used much of the sauce before baking and I loved it! Def recommend and will make again!!! ', '          Very good!  Makes a lot of sauce so I only made half the amount the next time I made it and it was plenty. ']"
Southern Fried Apples,"[""           I varied the recipe slightly1/2 c+ 1 T butter1/2 c white sugar1/2 c brown sugar1 T Cinnamon1/2 T NutmegI used a little extra butter because one of my apples was quite a bit larger than the rest. By NO stretch of the imagination am I a cook, so if I can do it, literally anyone can!It turned out fantastic. I'll definitely make this again! "", '          My family loves these.  I make 2 versions as my son is diabetic. For his I use Stevia and for the rest of the family I make the regular recipe ', '          Great pair with pork tenderloin.  So yummy. ', '          Im a mediocre cook and this was extremely simple amd turned out delicious and that was with not a thing changed THANK YOU ', '          I think they mean teaspoons not tablespoons of cinnamon.  The way it is written makes it overpowering. ', '           So I changed it a bit.1/2 cup of unsalted butter1/2 white sugar1/2 brown sugar1 1/2 tb. Cinnamon1/2 tb. Nutmeg4 Granny Smith applesIt’s amazing ', '          This is absolutely amazing!! i did however make another batch with brown sugar and it was SO GOOD! im 100% making this again ', '          Follow recipe not changes pretty good going to make pancakes tomorrow and use up the rest of it ', '          Just added a little more cinnamon ']"
